

Top words in category Xã hội
Word: Nguyễn Tấn Dũng, TF-IDF: 0.01841
Word: Đối thoại, TF-IDF: 0.01595
Word: Quốc hội, TF-IDF: 0.01391
Word: Biển Đông, TF-IDF: 0.0135
Word: Đại biểu, TF-IDF: 0.01268
Word: An ninh, TF-IDF: 0.01268
Word: Singapore, TF-IDF: 0.01063
Word: Hợp tác, TF-IDF: 0.01063
Word: Trung Quốc, TF-IDF: 0.01023
Word: Công tác, TF-IDF: 0.00982
Word: Ngư dân, TF-IDF: 0.00982
Word: Hòa bình, TF-IDF: 0.00941
Word: Thủ tướng, TF-IDF: 0.009
Word: Quốc phòng, TF-IDF: 0.009
Word: Quy định, TF-IDF: 0.009
Word: Nắng nóng, TF-IDF: 0.00859
Word: Thứ trưởng, TF-IDF: 0.00859
Word: Nhân dân, TF-IDF: 0.00859
Word: Hội nghị, TF-IDF: 0.00859
Word: Asean, TF-IDF: 0.00818

Top words in category Thế giới
Word: Trung Quốc, TF-IDF: 0.04085
Word: Syria, TF-IDF: 0.0275
Word: Nga, TF-IDF: 0.02589
Word: Mỹ, TF-IDF: 0.02265
Word: Tên lửa, TF-IDF: 0.01901
Word: Vũ khí, TF-IDF: 0.01861
Word: Hải quân, TF-IDF: 0.01861
Word: Biển Đông, TF-IDF: 0.0182
Word: Philippines, TF-IDF: 0.01618
Word: Quân đội, TF-IDF: 0.01497
Word: Tổng thống, TF-IDF: 0.01133
Word: Liên minh châu âu, TF-IDF: 0.01133
Word: Quân sự, TF-IDF: 0.01052
Word: Chủ quyền, TF-IDF: 0.01011
Word: Nhật Bản, TF-IDF: 0.01011
Word: Triều tiên, TF-IDF: 0.01011
Word: Máy bay, TF-IDF: 0.01011
Word: Hệ thống, TF-IDF: 0.00971
Word: Tàu chiến, TF-IDF: 0.00971
Word: Phòng không, TF-IDF: 0.00971

Top words in category Văn hóa
Word: Du khách, TF-IDF: 0.02638
Word: Du lịch, TF-IDF: 0.02398
Word: Hoa hậu, TF-IDF: 0.01759
Word: Cuộc thi, TF-IDF: 0.01599
Word: Người đẹp, TF-IDF: 0.01199
Word: Hoa hậu Việt Nam, TF-IDF: 0.01039
Word: Miss World, TF-IDF: 0.00879
Word: Tour, TF-IDF: 0.0072
Word: Tham quan, TF-IDF: 0.0072
Word: Thí sinh, TF-IDF: 0.0072
Word: Đặng Thu Thảo, TF-IDF: 0.0064
Word: Di tích, TF-IDF: 0.0064
Word: Chế biến, TF-IDF: 0.0064
Word: Thiếu nhi, TF-IDF: 0.0064
Word: Trang web chính thức, TF-IDF: 0.0056
Word: Món ăn, TF-IDF: 0.0056
Word: Thành phố hồ chí minh, TF-IDF: 0.0056
Word: Bảo tàng, TF-IDF: 0.0056
Word: Diễm Hương, TF-IDF: 0.0056
Word: Bốc mùi, TF-IDF: 0.0056

Top words in category Kinh tế
Word: Ngân hàng, TF-IDF: 0.02689
Word: Ngân hàng nhà nước việt nam, TF-IDF: 0.01727
Word: Nợ xấu, TF-IDF: 0.01443
Word: Nền kinh tế, TF-IDF: 0.01399
